seing	seing	vvg	sing	sing	0
that	that	cst	that	that	0
to	to	pc-acp	to	to	0
possesse	possesse	vvi	possess	possess	0
health	health	n1	health	health	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
gouerne	gouerne	vvi	govern	govern	0
golde	golde	n1	gold	gold	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
much	much	av-d	much	much	0
that	that	cst	that	that	0
health	health	n1	health	health	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
keth	keth	zz	keth	keth	0
men	men	n2	men	man	0
more	more	av-dc	more	more	0
happier	happier	jc	happier	happy	0
,	,	,	,	,	0
stronger	stronger	jc	stronger	strong	0
and	and	cc	and	and	0
quieter	quieter	jc-jn	quieter	quiet	0
then	then	cs	then	than	0
all	all	d	all	all	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
ri	ri	zz	ri	ri	0
∣	∣	sy	∣	∣	0
ches	ches	n1	ches	ches	0
,	,	,	,	,	0
lacking	lacking	vvg	lacking	lack	0
health	health	n1	health	health	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
exāple	exāple	n1	example	example	0
.	.	.	.	.	1
Great	Great	j	Great	great	0
princes	princes	n2	princes	prince	0
,	,	,	,	,	0
noble	noble	j	noble	noble	0
mē	mē	n2	men	man	0
,	,	,	,	,	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
substaunce	substaunce	n1	substance	substance	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
bee	bee	vbb	be	be	0
wrapped	wrapped	vvn	wrapped	wrap	0
&	&	cc	&	and	0
enclosed	enclosed	vvn	enclosed	enclose	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
&	&	cc	&	and	0
sundry	sundry	j	sundry	sundry	0
sickenesses	sickenesses	n2	sicknesses	sickness	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
dailye	dailye	j	daily	daily	0
daungers	daungers	n2	dangers	danger	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
treme	treme	j-jn	treme	treme	0
paynes	paynes	n2	pains	pain	0
and	and	cc	and	and	0
passions	passions	n2	passion	passion	0
,	,	,	,	,	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
more	more	av-dc	more	more	0
greatly	greatly	av-j	greatly	great	0
coueit	coueit	vvi	coueit	coueit	0
one	one	crd	one	one	0
drope	drope	n1	drope	drop	0
