If	If	cs	If	if	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
Vnion	Vnion	n1	Union	union	0
,	,	,	,	,	0
ſhall	ſhall	vmb	ſhall	ſhall	0
by	by	p-acp	by	by	0
mens	mens	ng2	men's	man	0
wickedneſſe	wickedneſſe	n1	wickedness	wickedness	0
,	,	,	,	,	0
turn	turn	vvb	turn	turn	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
ſad	ſad	j	ſad	ſad	0
Diviſion	Diviſion	n1	Diviſion	diviſion	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ſhall	ſhall	vmb	ſhall	ſhall	0
believe	believe	vvi	believe	believe	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
truly	truly	av-j	truly	true	0
Godly	Godly	j	Godly	godly	0
of	of	pp-f	of	of	0
either	either	d	either	either	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
can	can	vmb	can	can	0
ſcarce	ſcarce	av-j	ſcarce	ſcarce	0
be	be	vbi	be	be	0
capable	capable	j	capable	capable	0
of	of	pp-f	of	of	0
ſuch	ſuch	d	ſuch	ſuch	0
bloody	bloody	j	bloody	bloody	0
intentions	intentions	n2	intentions	intention	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ſhall	ſhall	vmb	ſhall	ſhall	0
leave	leave	vvi	leave	leave	0
a	a	dt	a	a	0
Legacy	Legacy	n1	Legacy	legacy	0
of	of	pp-f	of	of	0
perpetuated	perpetuated	vvn	perpetuated	perpetuate	0
blood	blood	n1	blood	blood	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Poſterity	Poſterity	n1	Poſterity	poſterity	0
;	;	;	;	;	0
and	and	cc	and	and	0
ſure	ſure	j	ſure	ſure	0
,	,	,	,	,	0
though	though	cs	though	though	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
preſent	preſent	j	preſent	preſent	0
guiltineſſe	guiltineſſe	n1	guiltiness	guiltiness	0
,	,	,	,	,	0
ſtrength	ſtrength	n1	ſtrength	ſtrength	0
prevail	prevail	vvi	prevail	prevail	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
habent	habent	fw-la	habent	habent	0
Deum	Deum	fw-la	Deum	deum	0
ultorem	ultorem	fw-la	ultorem	ultorem	0
