id,bipartite,displayname,category
119279,person,Cyrus,H
102899,person,Terentius,H
119289,person,Philip Musgrave,L
127487,person,Meire,U
119298,person,Amazon,F
102921,person,Hampton Court,L
135698,person,James Duke,L
119316,person,Anne Cooper,L
119321,person,Pyrrhus,H
102945,person,Tolle,U
119332,person,Josephus,H
102958,person,Maii,U
119346,person,Merline,F
127546,person,George Duke Of Albemarle Earl Of Thorington Baron Of Teese,L
119364,person,George Vane,L
111177,person,Turnum,H
119377,person,Epicure,H
119399,person,Eve,R
119402,person,George Trevelyan,L
127596,person,Seneca,H
135790,person,Morphandra,F
103030,person,Joseph Micklethwait,L
103035,person,Jesse,R
111255,person,Westfeild,L
103067,person,Theophilus Jones,L
111271,person,Red-Sea,R
135861,person,Richard Brown,L
135864,person,Penelope Head,L
111291,person,Mindus,U
111296,person,Dagon,R
135874,person,Barebones,U
127686,person,Pallas,F
103115,person,Cham,R
135889,person,Borgia,L
111323,person,El●Zabeth,L
111337,person,Hoby,L
127749,person,Magor,R
127754,person,Lewis,L
103178,person,Raviliaac,L
111382,person,Tyrus,H
127770,person,Jo Barwick,L
111387,person,Artaxerxes,H
127771,person,Epimenides,H
135973,person,Charles The,L
127781,person,Lateran Council,L
103210,person,Henonville,L
127805,person,Chrysyppo,H
103244,person,Wife,U
111440,person,Davila,U
111442,person,Meynel,U
136022,person,Schoolman,L
119644,person,Childerick,H
136031,person,Alastor,L
136037,person,Apollo,F
103273,person,Peter Brook,L
111478,person,Roger Coke,L
136057,person,Philip Nye,L
127870,person,William Hill,L
119678,person,Theophrastus Of Hohenheim,L
119680,person,Ambros,H
127873,person,Salvian,H
136068,person,St Cyprian,H
136075,person,Henry Iii,H
127892,person,Coligny,L
127895,person,Thomas Turner,L
103320,person,Sencca,H
136094,person,Marleborough,L
136104,person,Machiavelli,L
103337,person,Marsilius,H
119728,person,Blanc,U
103345,person,Dr Hammond,L
103347,person,Monopoly,U
127935,person,George Booth,L
136135,person,Alexander Scrougie,L
136137,person,Belial,R
103370,person,Virgil,H
119761,person,Georgio Strode,L
111574,person,Da Featley,L
103385,person,Fabius Cunctation,H
119778,person,Charles Earl Of Warwick Baron Of Leez,L
119789,person,Jabin,R
127996,person,Grays-Inn,L
136192,person,Korah,R
